iter	Passed	Remaining
1472	157434	37408
1473	157537	37300
1474	157637	37191
1475	157740	37084
1476	157847	36977
1477	157978	36875
1478	158080	36767
1479	158178	36658
1480	158280	36550
1481	158390	36444
1482	158498	36338
1483	158601	36230
1484	158706	36123
1485	158807	36014
1486	158916	35908
1487	159025	35801
1488	159127	35694
1489	159226	35585
1490	159330	35478
1491	159437	35371
1492	159541	35263
1493	159641	35155
1494	159745	35047
1495	159855	34941
1496	159960	34834
1497	160058	34725
1498	160155	34616
1499	160263	34510
1500	160368	34402
1501	160483	34297
1502	160587	34190
1503	160684	34081
1504	160784	33973
1505	160888	33865
1506	160989	33757
1507	161093	33650
1508	161195	33542
1509	161309	33436
1510	161407	33328
1511	161514	33221
1512	161613	33113
1513	161719	33006
1514	161832	32900
1515	161939	32793
1516	162049	32687
1517	162157	32580
1518	162256	32472
1519	162362	32365
1520	162468	32258
1521	162577	32152
1522	162679	32044
1523	162776	31935
1524	162890	31830
1525	163071	31738
1526	163209	31637
1527	163314	31529
1528	163418	31422
1529	163521	31314
1530	163631	31208
1531	163732	31100
1532	163826	30991
1533	163928	30883
1534	164036	30776
1535	164139	30669
1536	164245	30562
1537	164351	30455
1538	164471	30350
1539	164573	30242
1540	164672	30134
1541	164779	30027
1542	164885	29920
1543	164997	29814
1544	165104	29708
1545	165201	29599
1546	165310	29493
1547	165418	29386
1548	165519	29278
1549	165626	29171
1550	165730	29064
1551	165831	28956
1552	165943	28850
1553	166049	28743
1554	166151	28635
1555	166250	28527
1556	166350	28419
1557	166457	28312
1558	166560	28205
1559	166664	28097
1560	166776	27991
1561	166884	27885
1562	166994	27778
1563	167095	27671
1564	167200	27563
1565	167301	27456
1566	167398	27347
1567	167499	27240
1568	167610	27133
1569	167720	27027
1570	167823	26920
1571	167925	26812
1572	168029	26705
1573	168130	26597
1574	168230	26489
1575	168337	26382
1576	168436	26274
1577	168546	26168
1578	168655	26062
1579	168757	25954
1580	168859	25846
1581	168960	25739
1582	169062	25631
1583	169174	25525
1584	169274	25417
1585	169379	25310
1586	169484	25203
1587	169589	25096
1588	169693	24989
1589	169793	24881
1590	169905	24775
1591	170008	24668
1592	170117	24561
1593	170224	24455
1594	170323	24347
1595	170436	24241
1596	170542	24134
1597	170653	24028
1598	170756	23920
1599	170856	23813
1600	170955	23705
1601	171055	23597
1602	171159	23490
1603	171260	23382
1604	171369	23276
1605	171476	23169
1606	171578	23062
1607	171689	22955
1608	171791	22848
1609	171896	22741
1610	172001	22634
1611	172101	22526
1612	172200	22419
1613	172314	22313
1614	172428	22207
1615	172537	22101
1616	172650	21995
1617	172756	21888
1618	172876	21783
1619	172977	21675
1620	173104	21571
1621	173206	21463
1622	173325	21358
1623	173438	21252
1624	173554	21146
1625	173672	21041
1626	173772	20933
1627	173884	20827
1628	173991	20720
1629	174101	20614
1630	174209	20507
1631	174314	20400
1632	174431	20295
1633	174551	20189
1634	174665	20083
1635	174776	19977
1636	174897	19872
1637	175004	19765
1638	175133	19661
1639	175238	19554
1640	175349	19447
1641	175466	19341
1642	175566	19234
1643	175691	19129
1644	175800	19022
1645	175930	18918
1646	176042	18812
1647	176170	18707
1648	176279	18600
1649	176384	18493
1650	176491	18386
1651	176603	18280
1652	176706	18173
1653	176817	18066
1654	176925	17959
1655	177025	17852
1656	177126	17744
1657	177251	17639
1658	177363	17533
1659	177472	17426
